HCF,OBSERVACAO
8341,"erva epífita, semi-ciófila. Flores de cálice verde e corola alva, com labelo maculado de verde."
8342,"erva epífita, heliófita, pendente. Folhas carnosas, roliças. Flores verdes, maculadas de vermelho."
8343,"erva heliófita, com caule alado. Inflorescências caulifloras, com cálice verde e corola alva. Beira de estrada."
8344,"erva heliófita, ereta a reptante, em área antropizada. Flores roxas."
8345,"erva heliófita, ereta, entouceirada, ca. 0,50 m. Flores de cálice verde e corola alva. Em área antropizada."
8346,"subarbusto heliófito, ca. 0,50 m, armada com acúleo. Flores com cálice verde e corola alva."
8347,"árvore ripária, ca. 7m. Flores alvascentas."
8348,"erva epífita, pilosa, comum. Flores de cálice verde e corola rósea, maculada de roxo. Forófito: Allophylus edulis (St. Hil.) Radlk."
8349,"arvoreta ca. 3 m, heliófita, ripária. Frutos imaturos verdes."
8350,"erva heliófita, ca. 0,40 m. Flores de cálice verde e corola alva."
8351,"erva heliófita, ca. 0,40 m. Flores esverdeadas. Em beira de estrada."
8352,"arbusto ca. 2 m, heliófito, ripário, odorífero. Flores de cálice verde e corola alva."
8353,"árvore heliófita, ca. 10 m. Casca fissurada. Flores de cálice verde e corola alva."
8354,"árvore ca. 9 m, heliófita, ripária. Frutos imaturos verdes."
8355,"árvore ca. 8 m, heliófita. Flores de cálice verde e corola alva."
8356,"arbusto heliófito, ripário, ca. 1 m. Flores de cálice verde e corola alva."
8357,"arbusto heliófito, ereto, ca. 1,60 m. Flores de cálice verde e corola laranja. Beira de estrada."
8358,"árvore heliófita, ca. 5 m, ripária. Frutos imaturos verdes."
8359,"arvoreta, ca. 2 m. Flores de cálice verde e corola alva."
8360,"trepadeira com gavinhas, semi-ciófila. Flores de cálice verde e corola rosa."
8361,"arbusto heliófito, piloso, com flores alvas."
8362,"erva heliófita, ereta, ca. 0,10 m. Flores de cálice verde e corola rosa-escura. Frutos roxos. Freqüente. Afloramento de basalto."
8363,"erva heliófita, ereta, ca. 0,10 m. Flores amarelas."
8364,"erva heliófita, áfila, bulbosa, ereta, ca. 0,10 m. Flores amarelas. Afloramento basáltico. Abundante."
8365,"erva heliófita, ereta, cespitosa, ca. 0,20 m, em afloramento basáltico úmido. Flores amarelas, diminutas."
8366,"erva heliófita, rupícola. Flores amarelas. Frutos imaturos verdes, com espinhos."
8367,"erva epífita, suculenta, heliófita, a cerca de 2 m do solo. Frutos imaturos verdes."
8368,"árvore ca. 4 m, heliófita. Tronco armado com espinhos. Frutos imaturos verde-avermelhados."
8369,"erva epífita, carnosa, heliófita, pendente. Flores alvas."
8370,"erva ciófila, em beira de barranco basáltico úmido. Flores vermelhas."
8371,árvore ca. 4 m. Frutos imaturos verdes.
8372,"erva epífita, semi-ciófila. Folhas carnosas arredondadas. Flores alvas em cachos. Forófito: Maytenus sp. (HCF n°8371)."
8373,"arbusto ca. 2,5 m, semi-ciófilo. Flores alvas e roxas. Freqüente."
8374,arvoreta ca. 2 m. Frutos imaturos verdes e maduros avermelhados.
8375,"arvoreta ca. 3,5 m. Frutos imaturos verdes ao longo dos ramos."
8376,"erva epífita, a cerca de 2 m do solo. Flores amarelas."
8377,"erva suculenta, mameliforme, com 13 costas, cada uma com aréolas de até 8 espinhos. Cálice acastanhado, corola amarela. Com ninho de formigas pretas abaixo das raízes."
8378,"arvoreta ca. 2 m, com látex alvo, heliófita. Material negativo."
8379,"erva heliófita, ereta, ca. 0,40 m. Flores de cálice verde e corola amarela."
8380,"erva heliófita, ereta, ca. 0,60 m. Frutos imaturos verdes. "
8381,"erva heliófita, ereta. Flores azuis."
8382,"trepadeira volúvel ca. 0,40 m, heliófita. Flores alaranjadas."
8383,"erva heliófita, entouceirada, ca. 0,50 m. Flores amarelas com manchas alaranjadas e marrom-escuras no centro."
8384,"arbusto ca. 1 m, heliófito. Flores roxas. Cultivado."
9478,"erva ereta ca. 1 m, semi-ciófila. Flores amarelas. Frutos imaturos verdes."
9479,"arbusto ca. 2,50 m, ripário, ciófilo. Frutos imaturos verdes e maduros roxos."
9480,"arbusto ereto, ca. 0,7 m, ripário, semi-ciófilo. Frutos imaturos verdes e maduros alaranjados."
9481,"árvore ca. 6 m, semi-ciófila. Frutos imaturos verdes."
9482,"árvore ca. 10 m, ripária, semi-ciófila. Flores amarelas. Frutos imaturos verdes."
8385,"erva heliófita, ereta, ca. 1,20 m. Flores com cálice e corola esverdeados. Comum."
8386,"erva heliófita, ereta, palustre. Flores com cálice avermelhado e corola alva."
8387,"erva ereta, heliófita, ca. 0,80 m. Sementes avermelhadas. Comum."
8388,"arvoreta heliófita, ca. 5 m. Tronco tortuoso, marrom, com casca lisa. Flores de cálice verde e corola alva."
8389,"erva heliófita, ca. 0,50 m. Cálice de cor verde e corola rosa. Freqüente."
8390,"trepadeira volúvel, heliófita. Flores alvas. Próxima da estrada."
8391,"árvore heliófita, ca. 6 m. Frutos imaturos verdes."
8392,"erva epífita, heliófita, a cerca de 0,30 m do solo. Brácteas rosas, flores roxas."
8393,"erva heliófita, palustre, ca. 0,45 m."
8394,"erva heliófita, palustre, ca. 0,15 m."
8395,"erva heliófita, palustre, entouceirada, ca. 1 m."
8396,"erva heliófita, palustre, ca. 0,20 m."
8397,"erva heliófita, palustre, ca. 0,20 m."
8398,"erva heliófita, palustre, ca. 0,40 m."
8399,"erva heliófita, ereta, palustre, entouceirada. Flores de cálice vermelho e corola alaranjada. frutos imaturos verdes."
8400,"arbusto semi-ciófilo, ca. 0,60 m. Flores de cálice verde e corola alva. Frutos imaturos verdes."
8401,"erva prostrada, ciófila. Flores de cálice verde e corola roxa."
8402,árvore ca. 10 m. Frutos imaturos verdes.
8403,árvore ca. 15 m. Caule liso avermelhado. Botões florais alvo-esverdeados.
8404,"erva heliófita, reófila. Flores de cálice verde e corola rosa."
8405,"erva heliófita, palustre, ereta. Flores amarelas. freqüente."
8406,"erva heliófita, palustre. flores alvas."
8407,"erva palustre, heliófita, caule avermelhado. Flores de cálice verde e corola alva."
8408,"erva heliófita, ereta. Flores roxas. Frutos imaturos verdes."
8409,"erva epífita, a cerca de 2m do solo. Flores amarelas. Forófito: Araucaria angustifolia (Bert.) O. Kuntze"
8410,árvore ca. 6 m. Flores de cálice verde e corola alva.
8411,"trepadeira com gavinhas, heliófita, em beira de estrada. Flores de cálice verde e corola vermelha."
8412,"erva heliófita, entouceirada, ca. 0,60 m."
8413,"erva epífita, diminuta. Flores alvas. Beira da estrada."
8414,árvore ca. 4 m. Flores de cálice verde e corola alva. Em afloramento basáltico.
8415,"arvoreta semi-ciófila, ca. 3,5 m, armada com espinhos nas axilas das folhas. Frutos imaturos verdes e maduros negros."
8416,"arvoreta, ca. 3 m. Flores de cálice verde e corola rósea."
8417,"arvoreta ca. 3 m, heliófita. Frutos ao longo dos ramos, imaturos verdes e maduros negros."
8418,"arvoreta heliófita, ca. 4 m. Frutos imaturos verdes e maduros negros."
8419,"arvoreta heliófita, ca. 3 m. Folhas discolores. Flores com cálice amarelado e corola alva."
8420,"arvoreta heliófita, ca. 4 m. Tronco de casca lisa, coloração avermelhada com manchas brancas. Flores alvas."
8421,"árvore heliófita, ca. 10 m. Frutos imaturos verdes."
8422,"arvoreta ca. 2 m, heliófita. flores de cálice verde e corola amarela."
8423,"arvoreta heliófita, ca. 4 m. Botões florais amarelos."
8424,"arbusto semi-ciófilo, ca. 1m. Flores de cálice verde e corola alva."
8425,"erva epífita, semi-ciófila. Flores amarelas."
8426,"arbusto ca. 1,80 m, heliófito. Flores vermelhas."
8427,"erva heliófita, ereta, ca. 1m. Flores de cálice verde e corola roxa."
8428,"arvoreta heliófita, ripária, ca. 4 m, ramificada. Flores alvas."
8429,arbusto ca. 1m. Frutos imaturos verdes.
8430,"árvore ca. 5 m, heliófita. Flores de cálice verde e corola alvo-azulada."
8431,"árvore ca. 6 m. Frutos imaturos verdes, ao longo dos ramos."
8432,"árvore ca. 5 m, semi-ciófila. Frutos imaturos verdes."
8433,"subarbusto ca. 0,40 cm. Frutos imaturos verdes, pilosos."
8434,"erva ereta, heliófita, ca. 0,30 m. "
8435,"erva heliófita, entouceirada. Sementes verdes."
8436,"erva heliófita, ereta, entouceirada, ca. 1,20 m. sementes amarelas."
8437,"erva reptante, heliófita, com sementes verdes."
8438,"erva heliófita, palustre, entouceirada, ca. 1,0 m. Sementes castanhas."
8439,Flores alvas. Sem problemas visíveis aos equipamentos urbanos.
8440,árvore jovem com frutos (Rua Mato Grosso).
8441,árvore com estróbilos femininos.
8442,"arbusto heliófito, ca. 1 m. Flores amarelas. Frutos imaturos verdes."
8443,"erva epífita, ciófila, ripária, a cerca de 1,20 m do solo. Com soros de cor castanho-clara. Freqüente."
8444,"árvore ca. 12 m, heliófita. Material negativo."
8445,"Porte arbóreo, ca. 10 m, heliófita. Frutos imaturos verdes e maduros negros. Na Av. Comendador Roberto Marcondes, n° 28."
8446,"planta cespitosa, com porte arbóreo, ca. 10 m. Frutos imaturos verdes."
8447,"árvore ca. 10 m, com látex alvo. Folhas levemente discolores. Inflorescências esverdeadas. Frutos maduros amarelos. Em frente ao Ginásio JK."
8448,"erva heliófita, palustre, ca. 0,60 m."
8449,"erva heliófita, cespitosa, ca. 0,50 m. Sementes verdes."
8450,"erva heliófita, ca. 0,50 m, ereta, cespitosa. Sementes alvas."
8451,"erva semi-ciófila, palustre, ereta a prostrada. Sementes verdes."
8452,"erva heliófita, ca. 0,80 m, palustre."
8453,"arvoreta semi-ciófila, com flores amarelas. Frutos avermelhados."
8454,"erva heliófita, ereta, carnosa. Frutos imaturos verdes e maduros negros, carnosos."
8455,"erva semi-ciófila, ripária, ca. 0,20 m. Próxima a cachoeira."
8456,"trepadeira com gavinhas, ripária, heliófita. Frutos avermelhados. Flores alvas."
8457,"erva epífita, semi-ciófila, com soros de cor castanha, a cerca de 1,5 m do solo."
8458,"subarbusto escandente, semi-ciófilo, ripário. Frutos imaturos verdes."
8459,"arvoreta, semi-ciófila, ca. 3,5 m. Flores alvas."
8460,"arbusto escandente, semi-ciófilo, ca. 0,70 m. Frutos imaturos verdes, os maduros vermelhos."
8461,"arvoreta, ca. 1 m. Botões florais amarelos. Comum no subosque."
8462,"arbusto heliófito, ca. 2,5 m. Frutos imaturos amarelados e maduros negros. Em clareira na mata."
8463,"arbusto, semi-ciófilo, ca. 1,20 m. Flores alvo-amareladas em espigas verdes. Frutos imaturos verdes."
8464,"arvoreta heliófita, ca. 3 m. Frutos imaturos verdes."
8465,"trepadeira volúvel, com látex alvo, heliófita. Frutos imaturos verdes."
8466,"erva ciófila, ca. 0,60 m. Flores roxas."
8467,"erva ciófila, terrestre, ereta, ca. 0,06 m. Folhas discolores, roxas na superfície abaxial. Flores rosas. Ocasional."
8468,"erva ciófila, ca. 0,60 m. Sementes verdes."
8469,"subarbusto escandente ciófilo, ca. 1,8 m. Frutos carnosos de cor laranja."
8470,"subarbusto ciófilo, ca. 1,20, Flores de cálice alvo-esverdeado e corola roxa. Frutos avermelhados. No subosque."
8471,"erva ciófila, ca. 0,50 m. Flores alvas em espigas avermelhadas."
8472,"subarbusto ereto, semi-ciófilo. Flores de cálice verde e corola alva."
8473,"trepadeira escandente, heliófita. Flores amarelas. Frutos maduros negros."
8474,"arbusto heliófito ca. 1,60 m. Flores alvas."
8475,erva semi-ciófila. Frutos imaturos verdes e maduros roxos. Pêlos amarelos.
8476,"trepadeira volúvel, heliófita. Flores com cálice verde e corola vermelha com o ápice amarelo. Clareira."
8477,"erva ciófila, epífita, ripária."
8478,"arbusto ca. 2,5 m, ciófilo. Frutos espiciformes amarelos."
8479,"arbusto semi-ciófilo, ca. 1,10 m. Flores alvas."
8480,arbusto semi-ciófilo. Flores vermelhas.
8481,"trepadeira com gavinhas, heliófita. Caule com projeções aladas. Botões florais amarelos."
8482,"erva heliófita ripária, suculenta. Caule avermelhado. Flores alvo-rosadas."
8483,"erva heliófita, ereta, entouceirada, ca. 1,80 m. Beira da cachoeira."
8484,"erva ereta, ripária, heliófita, cespitosa. Afloramento de rocha basáltica."
8485,"erva heliófita, ripária, ereta. Flores esverdeadas."
8925,"erva heliófita, ca. 0,10 m. Flores roxas. Depressão úmida.
"
8486,"arbusto heliófito, ripário, ca. 1,80 m. Flores de cálice verde e corola vermelha."
8487,"erva heliófita, ripária, ca. 1,60 m. Sementes castanhas."
8488,"árvore ca. 6 m, heliófita. Flores de cálice verde e corola roxa."
8489,arvoreta semi-ciófila ca. 2 m. Flores verdes.
8490,"erva epífita, ripária, ciófila, a cerca de 2 m de altura."
8491,"erva semi-ciófila, ripária. Flores de cálice verde e corola roxa."
8492,"erva heliófita, palustre. Flores de cálice avermelhado e corola roxa."
8493,"trepadeira volúvel, heliófita, ripária. Flores de cálice verde e corola rosa."
8494,"erva semi-ciófila, ca. 0,20 m. Frutos imaturos verdes. Flores amarelas."
8495,"erva epífita, semi-ciófila, com flores espiciformes."
8496,"erva semi-ciófila, ripária, ca. 0,45 m. Flores de cálice verde e corola alva."
8497,"subarbusto escandente, heliófito, ca. 0,40 m. Flores de cálice verde e corola alva."
8498,"subarbusto escandente, heliófito. Flores alaranjadas, com muito néctar. Frutos avermelhados, alados."
8499,"arbusto semi-ciófilo, com flores e frutos espiciformes, de cor verde."
8500,"erva semi-ciófila, ca. 0,30 m. Flores de cálice verde e corola amarela."
8501,"subarbusto ripário, semi-ciófilo. Frutos imaturos verdes."
8502,"erva ripária, ca. 0,50 m, semi-ciófila. Flores alvas. frutos imaturos verde e maduros roxos."
8503,"erva ripária, semi-ciófila. Flores de cálice verde e corola roxa. Comum."
8504,"erva ca. 0,60 m, terrestre, ripária. Soros castanhos na margem das folhas."
8505,"arvoreta ripária, semi-ciófila. Frutos imaturos verdes."
8506,"erva heliófita, ripária, ca. 0,60 m. Flores de cálice verde e corola amarela."
8507,"erva heliófita, ereta, ripária. Frutos imaturos verde-avermelhados."
8508,"erva ciófila, reptante, ripária. Flores alvas."
8509,"arbusto semi-ciófilo, com flores alvas. Subosque.
"
8510,"arvoreta ripária, heliófita, ca. 1 m. Flores alvas."
8511,"arvoreta escandente, ripária, ca. 6 m. Ramos e caules apresentando secção quadrada, aculeados. Frutos imaturos verdes."
8512,"arbusto ripário, semi-ciófilo, ca. 2,5 m. Flores com cálice arroxeado e corola alva. Frutos maduros roxos."
8513,"erva ereta, heliófita, palustre, pilosa. Flores de cálice verde e corola azul."
8514,"erva ereta, heliófita, palustre, ca. 1m. Flores de cálice verde e corola azul."
8515,"trepadeira com gavinhas, heliófita. Frutos imaturos verdes. Flores alvas, com interior roxo."
8516,"erva ciófila, ripária, ca. 1 m. Flores de cálice verde e corola laranja."
8517,"árvore heliófita, com tronco liso. Frutos carnosos, imaturos verdes."
8518,"árvore ca. 8 m, com estípulas alvas e folhas discolores. Frutos imaturos esverdeados. Presença de formigas no interior dos ramos e do caule."
8519,"erva ereta, ca. 0,40 m. Flores de cálice verde e corola alva. Abundante."
8520,"erva heliófita, beira de trilha, ca. 0,60 m, entouceirada. Sementes verdes."
8521,"erva prostrada, pilosa. Flores alvas em umbelas."
8522,"erva ereta, ca. 0,60 m. Folhas semelhantes a das palmeiras. Sementes verdes.
"
8523,"erva ca. 1m, heliófita. Sementes roxas."
8524,"erva ca. 0,50 m, heliófita. Sementes esverdeadas."
8525,"erva semi-ciófila, ereta a prostrada. Flores de cálice verde e corola azul."
8526,"trepadeira com gavinhas, heliófita. Flores de cálice verde e corola alva. Frutos roxos."
8527,"erva terrestre, ciófila, entouceirada. Soros castanhos."
8528,"erva ca. 0,40 m, ereta. Flores de cálice verde e corola alva."
8529,"erva terrestre, ciófila, ca. 1m de altura. Soros nas margens da folha."
8530,"subarbusto semi-ciófilo, ca. 0,60 m. Flores com cálice verde e corola alva. frutos imaturos verdes e maduros negros. Comum."
8531,"erva ciófila, reptante. Flores alvas."
8532,"subarbusto entouceirado, semi-ciófilo. No subosque. Sementes verdes."
8533,"trepadeira volúvel, heliófita. Flores com cálice verde e corola alva, com venações roxas."
8534,"árvore ca. 8 m, heliófita. Em pré-floração."
8535,"trepadeira volúvel, heliófita, com látex alvo. Flores de cálice verde e corola amarelo-esverdeada."
8536,"trepadeira volúvel, heliófita. Folhas levemente discolores. Flores rosas."
8537,"erva heliófita, ca. 0,30 m. Flores amarelas."
8538,"trepadeira volúvel, heliófita. Frutos alados amarelo-esverdeados. Flores amarelas."
8539,"erva ca. 0,60 m, semi-ciófila. Flores alvas."
8540,"arbusto ciófilo, ca. 2,5 m. Flores amareladas em espigas. Subosque."
8541,"erva entouceirada, semi-ciófila. Sementes verdes."
8542,"erva escandente, heliófita. Sementes verdes."
8543,"feto arborescente, ciófilo, ca. 2,5 m. Soros nas folhas mais velhas."
8544,"erva semi-ciófila ca. 0,40 m, com material fértil em espiga."
8545,"erva reptante, em beira de trilha, semi-ciófila. Flores de cálice verde e corola amarela. Frutos imaturos verdes."
8546,"erva ereta, com escamas douradas na base. Soros castanhos, redondos, contornando o ápice das folhas."
8547,"erva ereta, heliófita. Flores amareladas."
8548,"arbusto ca. 3 m, semi-ciófilo. Botões florais amarelados."
8549,"subarbusto heliófito, ca. 0,40 m. Beira de trilha. Flores de cálice verde e corola rosa."
8550,"subarbusto ca. 2,20 m, heliófito. Flores de cálice verde e corola rosa."
8551,"arbusto ciófilo, ca. 2,5 m. Frutos imaturos verdes."
8552,"arbusto ca. 2 m, ciófilo. Flores alvas. Frutos imaturos verdes."
8553,"trepadeira com gavinhas, heliófita. Flores de cálice verde e corola alva."
8554,"trepadeira com gavinhas, heliófita. Flores roxas."
8555,"erva terrestre, ciófila. Soros lineares, paralelos a nervura central da folha."
8556,"erva ca. 1 m, semi-ciófila, látex alvo. Flores amarelas."
8557,"erva ereta, entouceirada, semi-ciófila. Sementes alvas e negras."
8558,"erva epífita, a cerca de 3 m do solo. Soros amarelos. Forófito: Cedrela fissilis Vell. (Meliaceae)"
8559,"subarbusto ciófilo, com frutos imaturos verdes muricados."
8560,"arbusto heliófito, armado com espinhos. Flores de cálice verde e corola alva."
8561,"trepadeira volúvel, heliófita, glabra, com caule espinescente. Flores de cálice verde e corola alva."
8562,"erva semi-ciófila, ereta, ca. 0,50 m, em beira de trilha. Flores alvas."
8563,"trepadeira volúvel, heliófita. Flores amarelas. Frutos imaturos verdes, pilosos."
8564,"trepadeira volúvel, com látex alvo, heliófita. Frutos imaturos verdes."
8565,"trepadeira volúvel, heliófita, com frutos alados avermelhados. Beira de floresta."
8566,"trepadeira volúvel, heliófita, com frutos imaturos verdes."
8567,"arvoreta ca. 3 m, heliófita. Flores alvas. Início da floração."
8568,"arvoreta ca, 2,5 m. Folhas com odor cítrico. Flores de cálice verde e corola alva."
8569,"arvoreta ca. 4 m. Frutos imaturos verdes, do tipo vagem e maduros castanhos."
8570,"árvore heliófita, ca. 8 m. Frutos imaturos verdes. Flores de cálice verde e corola alva."
8571,"erva epífita, ciófila. Flores amarelas."
9483,"erva semi-ciófila, epífita. Frutos imaturos verdes."
9518,"erva terrestre, heliófita, ereta, ca. 0,10 m. Flores de cor creme."
8572,"erva cespitosa, heliófita, ripária, ca. 0,70 m."
8573,"arbusto semi-ciófilo, ca. 0,50 m. Flores alvescentas. Frutos maduros de cor negra, pilosos."
8574,"trepadeira com gavinhas, heliófita. Ramos jovens ferrugíneos-pubescentes. Flores alvas."
8575,"erva epífita, ripária, ciófila. Soros castanhos ao longo de nervuras secundárias. Forófito: Campomanesia xanthocarpa O. Berg (Myrtaceae)."
8576,"arbusto ca. 0,80 m, ripário, semi-ciófilo. Soros castanhos ao longo da nervura central."
8577,"arbusto ca. 2 m. Flores esverdeadas, espiciformes."
8578,"erva ca. 0,10 m, ripária, ciófila. Soros castanhos."
8579,"erva ciófila, ca. 0,20 m. Soros castanhos na margem das folhas."
8580,"erva epífita, ciófila, a cerca de 3 m do solo. Soros de coloração amarela ao longo da nervura."
8581,"erva ca. 0,30 m, terrestre, entouceirada. Soros castanhos na face abaxial das folhas."
8582,"erva ca. 0,40 m, terrestre. Soros nas margens das folhas."
8583,"trepadeira com gavinhas, heliófita. Flores com cálice verde e corola amarela."
8584,"erva epífita, a cerca de 1m de altura sobre o rio. Flores espiciformes."
8585,"erva heliófita, epífita, a cerca de 4 m em tronco sobre a água. Flores amarelas."
8586,"erva heliófita, ripária, com látex alvo abundante. Ca. 1,20 m. Flores vermelhas."
8587,"trepadeira volúvel, heliófita, ripária. Botões florais alvascentos."
8588,"erva epífita, ciófila. Soros em folha modificada. A cerca de 2 m de altura. Forófito: Syagrus romanzoffiana (Cham.) Glassman"
8589,"erva ripária, ciófila, epífita, ca. 0,50 m."
8590,"árvore heliófita, ripária, ca. 6 m. Folhas discolores. Flores rosas. Frutos imaturos verdes, pilosos."
8591,"arvoreta semi-ciófila, ripária, ca. 2 m. Frutos imaturos arroxeados."
8592,"erva heliófita, ca. 0,05 m, reófila, próxima a cachoeira."
8593,"árvore heliófita, ripária, ca. 15 m. Estípulas terminais vináceas. Frutos imaturos."
8594,"erva heliófita, ca. 1 m, ereta. Flores amarelas. Beira de trilha."
8595,"trepadeira com gavinhas, reptante. Frutos imaturos verdes. Flores com cálice verde e corola amarela. Em trilha na floresta."
8596,"erva ca. 0,80 m, ereta, semi-ciófila, com folhas e caules pilosos. Flores verde-arroxeadas."
8597,"erva rupícola, heliófita, ca. 0,07 m. Soros castanhos."
8598,"erva epífita, a cerca de 2 m do solo. Folhas carnosas cilindricas. Flores amarelas."
8599,"erva epífita, ciófila, a cerca de 2m do solo. Soros escuros."
8600,"erva ereta, heliófita, ca. 1 m. Flores de cálice verde e corola amarela. Em meio a bromélias no afloramento basáltico."
8601,"erva ca. 0,20 m, ereta, cespitosa. Sobre depressão rochosa com acúmulo de materia orgânica."
8602,"erva heliófita, ca. 0,50 m. Flores roxas."
8603,"erva heliófita, ca. 0,40 m, decumbente. Flores alvo-azuladas."
8604,"erva ca. 0,20 m, ereta, heliófita. Flores alvas. No afloramento."
8605,"subarbusto escandente, heliófito, ca. 3m. Frutos alados avermelhados."
8606,"trepadeira volúvel, heliófita. Frutos imaturos verdes e maduros marrons."
8607,"erva ereta, heliófita, odorífera. Flores lilases. Frutos marrons."
8608,"trepadeira volúvel, heliófita, na borda do remanescente. Flores vermelhas."
8609,"erva ca. 0,20 m, heliófita. Flores azuis com centro roxo."
8610,arbusto heliófito ca. 1 m. Vagens verdes. Em afloramento.
8611,"erva ereta, heliófita, ca. 0,20 m. Flores alvas."
8612,"árvore ca. 4,5 m, ereta, heliófita. Flores rosas. Em afloramento."
8613,árvore heliófita ca. 6 m. Frutos secos alados.
8614,"trepadeira volúvel, heliófita. Flores róseas."
8615,"arbusto heliófito, ca. 1m. Flores alvo-rosadas a amareladas. Afloramento rochoso."
8616,"árvore, heliófita, ca. 5 m. Frutos imaturos verdes."
8617,"arvoreta ca. 3 m, heliófita. Flores roxas com estames amarelos."
8618,"erva prostrada, ca. 0,10 m, ciófila. Frutos maduros alaranjados."
8619,"erva ciófila, entouceirada. Sementes verdes."
8620,"erva semi-ciófila, ca. 0,20 m, ereta. Soros marrons na borda da folha. No afloramento."
8621,"erva epífita, ciófila. Soros castanhos."
8622,"arvoreta ca. 2,5 m. Frutos imaturos verdes e maduros negros."
8623,"trepadeira volúvel, heliófita, suculenta. Flores alvo-esverdeadas."
8624,"erva ciófila, ca. 0,20 m."
8625,"erva reptante, ciófila. Flores esverdeadas. Próxima ao afloramento."
8626,"árvore ca. 6 m, heliófita, com acúleos nos ramos. Frutos imaturos verdes e os maduros laranjas."
8627,"trepadeira volúvel, heliófita. Flores amarelas. Próxima ao afloramento."
8628,"trepadeira volúvel, heliófita. Frutos maduros castanhos. Orla de floresta."
8629,"trepadeira volúvel, heliófita. Flores alvas com interior com venações roxas. Odorífera. Frutos imaturos verdes. Frente ao trevo do campus da UTFPR."
8630,arbusto heliófito ca. 5 m. Folhas discolores. Flores alvas. Cultivado.
8631,"erva heliófita, ereta, ca. 1,5 m. Flores roxas. Beira de estrada."
8632,"erva ereta, heliófita, armada com espinhos. Frutos imaturos verdes e maduros amarelos. Beira de estrada."
8633,"erva prostrada, heliófita. Frutos imaturos verdes. Beira de estrada."
8634,"erva ca. 0,40 m, heliófita. Flores alvas. Beira de estrada."
8635,"erva ciófila, ripária, prostrada. Comum."
8636,"erva ciófila, ripária, ca. 0,45 m. Soros em espigas terminais amareladas."
8637,"erva ciófila, ca. 0,45 m. Soros castanhos na margem das folhas."
8638,"erva ciófila, prostrada, pilosa. Flores rosas. Em beira de córrego sobre rocha aflorante."
8639,"erva epífita, ciófila. Soros amarelados."
8640,"erva ripária, terrestre, ciófila. Beira de córrego."
8641,"arbusto ca. 2 m, ciófilo. Frutos imaturos verdes e maduros negros."
8642,"árvore heliófita, ca. 5 m. Flores alvas."
8643,"erva epífita, semi-ciófila. Flores esverdeadas, maculadas de roxo."
8644,"arbusto ripário, ca. 1m, semi-ciófilo. Frutos imaturos verdes e maduros vermelhos."
8645,"erva heliófita, ripária, ca. 0,30 m. Flores rosas."
8646,"erva ripária, heliófita, com pêlos glandulares ao longo do caule e folhas. Flores roxas."
8647,"erva heliófita, palustre, comum. Flores de cálice verde e corola alva."
8648,"erva prostrada, heliófita, com folhas pilosas, em meio a pastagem. Flores roxas."
8649,"subarbusto heliófito, ca. 0,70 m. Flores e frutos imaturos de cor verde. Em meio a pastagem."
8650,"erva ciófila, ca. 0,30 m, terrestre. Folhas levemente variegadas. Com flores em espigas. "
8651,"árvore ca. 7 m, heliófita. Com frutos maduros verdes."
8652,"erva epífita, heliófita. Flores rosas. "
8653,"trepadeira volúvel, heliófita, em beira de estrada. Flores de cálice verde e corola roxa."
8654,"arbusto heliófito, ca. 1,6 m. Folhas gríseo-tomentosas. Flores amarelas."
8655,"trepadeira volúvel, heliófita, beira da estrada. Flores de cálice verde e corola vermelha."
8656,"trepadeira volúvel, heliófita, em beira de estrada. Flores de cálice rosa forte."
8657,"erva epífita, ripária, semi-ciófila. Próxima a cachoeira do Rio Turvo."
8658,"arbusto ca. 1m, ciófilo. Frutos imaturos verdes e maduros negros."
8659,"arvoreta semi-ciófila, ca. 5 m. Frutos imaturos verdes e maduros alaranjados."
8660,"arbusto ereto, ciófilo, ca. 0,50 m. Frutos maduros azuis."
8661,"arbusto heliófito, escandente, armado com acúleos. Frutos imaturos vermelhos."
8662,"subarbusto escandente, heliófita. Folhas com pubescência alva. Frutos alados avermelhados."
8663,"arbusto escandente, heliófito. Flores alvas. Frutos imaturos verdes e maduros vermelhos."
8664,"trepadeira com gavinhas, heliófita. Frutos alados verdes."
8665,"arvoreta heliófita, ca. 2,5 m. Frutos imaturos verdes."
8666,"arvoreta ca. 4 m, heliófita. Frutos imaturos verdes."
8667,"erva heliófita, ripária, ca. 0,80 m, entouceirada. Flores amrelas."
9519,"erva heliófita, ereta, cultivada. Flores roxas."
8668,"erva semi-ciófila, ca. 1 m. Flores alvas. Frutos imaturos verdes."
8669,"erva ciófila, ca. 1 m. Soros castanhos ao longo das folhas. Caule e base ferrugíneo-pilosos."
9520,"erva heliófita, ca. 0,50 m, entouceirada. Flores alvas. Cultivada."
8670,"trepadeira com gavinhas, heliófita. Frutos imaturos verdes."
8671,"subarbusto escandente, heliófito. Frutos alados alvos."
8672,arvoreta semi-ciófila. Flores esverdeadas.
8673,"trepadeira com gavinhas, semi-ciófila. Flores de cálice verde e corola roxa."
8674,"trepadeira com gavinhas, heliófita. Botões florais alvo-esverdeados."
8675,"trepadeira com gavinhas, heliófita. Flores alvas, com odor de mel."
8676,"trepadeira com gavinhas, armada com acúleos, heliófita. Frutos carnosos maduros de cor preta."
8677,"subarbusto ca. 0,50 m. Flores rosas. Cultivado."
8678,"trepadeira com gavinhas, heliófita. Flores amareladas."
